"CustomerKey","MaritalStatus","Gender","Education","Occupation","HomeOwner","Country","SpendBand"
1,"M","M","Bachelors","Professional","Yes","Australia","HighSpend"
2,"S","M","Bachelors","Professional","No","Australia","MediumSpend"
3,"M","M","Bachelors","Professional","Yes","Australia","MediumSpend"
4,"S","F","Bachelors","Professional","No","Australia","MediumSpend"
5,"S","F","Bachelors","Professional","Yes","Australia","MediumSpend"
6,"S","M","Bachelors","Professional","Yes","Australia","MediumSpend"
7,"S","F","Bachelors","Professional","Yes","Australia","MediumSpend"
8,"M","M","Bachelors","Professional","Yes","Australia","MediumSpend"
9,"S","F","Bachelors","Professional","Yes","Australia","MediumSpend"
10,"S","M","Bachelors","Professional","No","Australia","MediumSpend"
11,"S","F","Bachelors","Professional","No","Australia","MediumSpend"
12,"M","M","Bachelors","Professional","Yes","Australia","MediumSpend"
13,"M","F","Bachelors","Management","Yes","United States","HighSpend"
14,"M","M","Bachelors","Management","Yes","United States","HighSpend"
15,"S","F","Bachelors","Management","No","United States","HighSpend"
16,"S","F","Partial College","Skilled Manual","No","United States","LowSpend"
17,"M","M","Partial College","Skilled Manual","Yes","United States","LowSpend"
18,"S","F","High School","Skilled Manual","Yes","Australia","LowSpend"
19,"S","M","Partial College","Clerical","Yes","Australia","LowSpend"
20,"S","M","High School","Skilled Manual","No","Canada","HighSpend"
21,"S","M","High School","Skilled Manual","No","Canada","HighSpend"
22,"S","F","Partial College","Skilled Manual","No","United States","HighSpend"
23,"M","M","Partial College","Skilled Manual","Yes","United States","MediumSpend"
24,"M","M","Partial College","Skilled Manual","Yes","United States","HighSpend"
25,"M","M","Partial College","Skilled Manual","Yes","United States","HighSpend"
26,"M","M","Partial High School","Clerical","Yes","Australia","LowSpend"
27,"S","M","Partial College","Clerical","No","Australia","LowSpend"
28,"M","M","Partial College","Clerical","Yes","Australia","LowSpend"
29,"M","F","Partial College","Clerical","Yes","Australia","LowSpend"
30,"M","M","Partial College","Clerical","Yes","Australia","LowSpend"
31,"M","F","Partial High School","Clerical","Yes","Australia","LowSpend"
32,"M","F","High School","Skilled Manual","Yes","Australia","LowSpend"
33,"M","F","High School","Skilled Manual","Yes","Australia","LowSpend"
34,"M","M","High School","Skilled Manual","Yes","Australia","LowSpend"
35,"M","F","High School","Skilled Manual","Yes","Australia","LowSpend"
36,"M","F","Partial High School","Clerical","Yes","Australia","LowSpend"
37,"M","F","Partial College","Skilled Manual","Yes","United States","HighSpend"
38,"S","F","Partial High School","Clerical","No","Canada","MediumSpend"
39,"M","F","Partial High School","Clerical","Yes","Australia","LowSpend"
40,"M","M","Partial College","Clerical","Yes","Australia","LowSpend"
41,"M","M","Partial College","Skilled Manual","Yes","United States","LowSpend"
42,"M","F","Partial College","Skilled Manual","Yes","United States","HighSpend"
43,"M","F","Partial College","Skilled Manual","Yes","United States","HighSpend"
44,"M","M","Partial College","Skilled Manual","Yes","United States","HighSpend"
45,"M","M","Partial High School","Clerical","Yes","Australia","LowSpend"
46,"S","M","High School","Skilled Manual","No","Australia","LowSpend"
47,"M","F","High School","Skilled Manual","Yes","Australia","LowSpend"
